gamma,alpha,best_val_pr_auc
1.5,1.0,0.022952822910505755
3.0,1.0,0.01976403968902008
1.5,0.5,0.019422837708276477
3.0,0.5,0.019392232806991844
0.0,0.5,0.018878086446488782
0.0,0.0,0.017942941568997166
0.0,0.1,0.016674611837405283
0.5,0.5,0.016668288571545245
0.5,0.0,0.016568407707153746
0.5,0.1,0.016408332832098874
1.5,0.0,0.01636389894027828
1.5,0.1,0.016340054159456573
3.0,0.1,0.016304891989972578
0.5,1.0,0.0162204821270457
3.0,0.0,0.016191832543137278
0.0,1.0,0.014650679231051499
